number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
37,2216809781.7636733,2025-11-25 22:27:43.549960,2025-11-25 22:27:44.519701,0 days 00:00:00.969741,,LightGBM,0.10308198909829133,,,,,59.0,COMPLETE
38,2743667211.673445,2025-11-25 22:27:44.520232,2025-11-25 22:29:11.838605,0 days 00:01:27.318373,True,RandomForest,,11.0,3.0,7.0,298.0,,COMPLETE
39,4825692284.302365,2025-11-25 22:29:11.839151,2025-11-25 22:29:12.557303,0 days 00:00:00.718152,,DecisionTree,,24.0,,,,,COMPLETE
40,4791669824.226569,2025-11-25 22:29:12.557728,2025-11-25 22:29:12.595551,0 days 00:00:00.037823,,LinearRegression,,,,,,,COMPLETE
41,2196585728.1135044,2025-11-25 22:29:12.595913,2025-11-25 22:29:13.748599,0 days 00:00:01.152686,,LightGBM,0.1378801426595354,,,,,72.0,COMPLETE
42,2209126001.7607794,2025-11-25 22:29:13.749174,2025-11-25 22:29:15.062611,0 days 00:00:01.313437,,LightGBM,0.1670933499441858,,,,,77.0,COMPLETE
43,2198949983.4602942,2025-11-25 22:29:15.063184,2025-11-25 22:29:16.155905,0 days 00:00:01.092721,,LightGBM,0.13705440168088348,,,,,57.0,COMPLETE
44,2197088925.3182707,2025-11-25 22:29:16.156527,2025-11-25 22:29:17.698305,0 days 00:00:01.541778,,LightGBM,0.12245026941015348,,,,,90.0,COMPLETE
45,2192924220.1375017,2025-11-25 22:29:17.698874,2025-11-25 22:29:19.495190,0 days 00:00:01.796316,,LightGBM,0.09008224526704273,,,,,104.0,COMPLETE
46,2202313560.823141,2025-11-25 22:29:19.495791,2025-11-25 22:29:21.272288,0 days 00:00:01.776497,,LightGBM,0.08188284776322408,,,,,105.0,COMPLETE
47,2205306655.9092665,2025-11-25 22:29:21.272848,2025-11-25 22:29:23.183637,0 days 00:00:01.910789,,LightGBM,0.0924727834529242,,,,,116.0,COMPLETE
48,2219634272.0983706,2025-11-25 22:29:23.184308,2025-11-25 22:29:24.872543,0 days 00:00:01.688235,,LightGBM,0.11337694136199734,,,,,99.0,COMPLETE
49,3972657770.178673,2025-11-25 22:29:24.873144,2025-11-25 22:29:25.490355,0 days 00:00:00.617211,,DecisionTree,,11.0,,,,,COMPLETE
50,2226973927.256242,2025-11-25 22:29:25.491076,2025-11-25 22:29:26.905005,0 days 00:00:01.413929,,LightGBM,0.1957054816637197,,,,,85.0,COMPLETE
51,2205308358.2013283,2025-11-25 22:29:26.905619,2025-11-25 22:29:28.477954,0 days 00:00:01.572335,,LightGBM,0.12330042783645759,,,,,91.0,COMPLETE
52,2217598706.0686183,2025-11-25 22:29:28.478615,2025-11-25 22:29:30.341003,0 days 00:00:01.862388,,LightGBM,0.14327404618144127,,,,,111.0,COMPLETE
53,2268765501.227828,2025-11-25 22:29:30.341601,2025-11-25 22:29:31.705995,0 days 00:00:01.364394,,LightGBM,0.05978860184463773,,,,,70.0,COMPLETE
54,2205320349.7351046,2025-11-25 22:29:31.706613,2025-11-25 22:29:33.245019,0 days 00:00:01.538406,,LightGBM,0.1646512585154336,,,,,87.0,COMPLETE
