number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_classifier,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_num_leaves,state
37,4791669824.226569,2025-11-28 01:33:51.458642,2025-11-28 01:33:51.534159,0 days 00:00:00.075517,,LinearRegression,,,,,,,COMPLETE
38,2193896506.9107413,2025-11-28 01:33:51.534783,2025-11-28 01:33:53.917029,0 days 00:00:02.382246,,LightGBM,0.09681185352046984,,,,,108.0,COMPLETE
39,4825692284.302365,2025-11-28 01:33:53.917795,2025-11-28 01:33:55.211289,0 days 00:00:01.293494,,DecisionTree,,24.0,,,,,COMPLETE
40,4791669824.226569,2025-11-28 01:33:55.211889,2025-11-28 01:33:55.289604,0 days 00:00:00.077715,,LinearRegression,,,,,,,COMPLETE
41,2195992506.387443,2025-11-28 01:33:55.290268,2025-11-28 01:33:57.435251,0 days 00:00:02.144983,,LightGBM,0.09563790207827871,,,,,106.0,COMPLETE
42,2191766698.322617,2025-11-28 01:33:57.435911,2025-11-28 01:34:00.610206,0 days 00:00:03.174295,,LightGBM,0.08831046045153536,,,,,109.0,COMPLETE
43,2450405691.724271,2025-11-28 01:34:00.610930,2025-11-28 01:34:02.910381,0 days 00:00:02.299451,,LightGBM,0.033894747038020395,,,,,112.0,COMPLETE
44,2193834913.8182707,2025-11-28 01:34:02.911043,2025-11-28 01:34:04.794245,0 days 00:00:01.883202,,LightGBM,0.09010514340947956,,,,,108.0,COMPLETE
45,2201475795.8562584,2025-11-28 01:34:04.794850,2025-11-28 01:34:07.067667,0 days 00:00:02.272817,,LightGBM,0.08341395823905615,,,,,134.0,COMPLETE
46,2295748466.198895,2025-11-28 01:34:07.068240,2025-11-28 01:34:08.873708,0 days 00:00:01.805468,,LightGBM,0.04719366978001548,,,,,104.0,COMPLETE
47,4787565921.002466,2025-11-28 01:34:08.874337,2025-11-28 01:34:09.706237,0 days 00:00:00.831900,,DecisionTree,,18.0,,,,,COMPLETE
48,2203536261.8217134,2025-11-28 01:34:09.706722,2025-11-28 01:34:11.374229,0 days 00:00:01.667507,,LightGBM,0.08986686365471959,,,,,114.0,COMPLETE
49,3658882126.2711,2025-11-28 01:34:11.374857,2025-11-28 01:35:40.882354,0 days 00:01:29.507497,False,RandomForest,,11.0,4.0,6.0,193.0,,COMPLETE
50,2224566171.1369896,2025-11-28 01:35:40.883189,2025-11-28 01:35:45.198651,0 days 00:00:04.315462,,LightGBM,0.12786725436225244,,,,,138.0,COMPLETE
51,2194374111.630076,2025-11-28 01:35:45.199412,2025-11-28 01:35:47.176743,0 days 00:00:01.977331,,LightGBM,0.09275729024508575,,,,,106.0,COMPLETE
52,2219738427.416762,2025-11-28 01:35:47.177381,2025-11-28 01:35:49.021900,0 days 00:00:01.844519,,LightGBM,0.07691258552584247,,,,,113.0,COMPLETE
53,2186019036.285588,2025-11-28 01:35:49.022542,2025-11-28 01:35:50.685272,0 days 00:00:01.662730,,LightGBM,0.09754164103847399,,,,,99.0,COMPLETE
54,2231929578.141359,2025-11-28 01:35:50.685904,2025-11-28 01:35:52.654698,0 days 00:00:01.968794,,LightGBM,0.05734178899733164,,,,,121.0,COMPLETE
55,2216240292.6499557,2025-11-28 01:35:52.655312,2025-11-28 01:35:54.772821,0 days 00:00:02.117509,,LightGBM,0.07033638998262196,,,,,121.0,COMPLETE
56,2377548000.80234,2025-11-28 01:35:54.773517,2025-11-28 01:35:57.051629,0 days 00:00:02.278112,,LightGBM,0.038367511739424695,,,,,108.0,COMPLETE
57,4791669824.226569,2025-11-28 01:35:57.052276,2025-11-28 01:35:57.143611,0 days 00:00:00.091335,,LinearRegression,,,,,,,COMPLETE
58,2208429747.6484766,2025-11-28 01:35:57.144286,2025-11-28 01:35:59.301938,0 days 00:00:02.157652,,LightGBM,0.08978039089557914,,,,,125.0,COMPLETE
59,2234497618.6871357,2025-11-28 01:35:59.302582,2025-11-28 01:36:01.208268,0 days 00:00:01.905686,,LightGBM,0.061109998611278506,,,,,97.0,COMPLETE
60,4943849577.25033,2025-11-28 01:36:01.208965,2025-11-28 01:36:02.261117,0 days 00:00:01.052152,,DecisionTree,,26.0,,,,,COMPLETE
61,2204933782.245139,2025-11-28 01:36:02.261663,2025-11-28 01:36:03.882858,0 days 00:00:01.621195,,LightGBM,0.102821692449144,,,,,103.0,COMPLETE
62,2208930238.223533,2025-11-28 01:36:03.883477,2025-11-28 01:36:05.683768,0 days 00:00:01.800291,,LightGBM,0.07802206405254185,,,,,101.0,COMPLETE
63,2255780571.4500957,2025-11-28 01:36:05.684384,2025-11-28 01:36:07.338307,0 days 00:00:01.653923,,LightGBM,0.17334561431997372,,,,,120.0,COMPLETE
64,2217910451.0135965,2025-11-28 01:36:07.338925,2025-11-28 01:36:08.840016,0 days 00:00:01.501091,,LightGBM,0.1414995087386594,,,,,111.0,COMPLETE
65,2517253249.6288633,2025-11-28 01:36:08.840621,2025-11-28 01:37:33.429042,0 days 00:01:24.588421,True,RandomForest,,15.0,2.0,5.0,194.0,,COMPLETE
66,2208498619.968961,2025-11-28 01:37:33.429598,2025-11-28 01:37:35.024216,0 days 00:00:01.594618,,LightGBM,0.12432926531243332,,,,,91.0,COMPLETE
